Source,Target,Type,FileType,Line
docs/ECRR_REPORTS/archive/2025-09-22-ecrr-01-gate-validation.md,../../artifacts/ecrr-01-playwright-offline.json,markdown-link,markdown,34
docs/ECRR_REPORTS/archive/2025-09-22-ecrr-01-gate-validation.md,../../artifacts/ecrr-01-playwright-isolation.json,markdown-link,markdown,90
docs/ECRR_REPORTS/archive/2025-09-22-ecrr-01-gate-validation.md,../../artifacts/ecrr-01-playwright-offline.json,markdown-link,markdown,91
docs/ECRR_REPORTS/archive/2025-09-29-ecrr-01-consolidated.archived-2025-10-02_00-47-15.md,../../artifacts/ecrr-01-playwright-isolation.json,markdown-link,markdown,968
docs/ECRR_REPORTS/archive/2025-09-29-ecrr-01-consolidated.archived-2025-10-02_00-47-15.md,../../artifacts/ecrr-01-playwright-offline.json,markdown-link,markdown,969
docs/ECRR_REPORTS/archive/2025-09-29-ecrr-01-consolidated.archived-2025-10-02_00-47-15.md,../../artifacts/ecrr-01-playwright-isolation.json,markdown-link,markdown,1025
docs/ECRR_REPORTS/archive/2025-09-29-ecrr-01-consolidated.archived-2025-10-02_00-47-15.md,../../artifacts/ecrr-01-playwright-offline.json,markdown-link,markdown,1026
docs/LAST_MILE_COMPLETE.md,../docs/ecrr/GATE_STATUS.md,markdown-link,markdown,132
docs/LAST_MILE_COMPLETE.md,../docs/IONA_ERRORS.md,markdown-link,markdown,133
docs/LEFTHOOK_SETUP.md,./REPO_HYGIENE.md,markdown-link,markdown,179
docs/RUNBOOK_INDEX.md,../ON_CALL_RUNBOOK.md,markdown-link,markdown,25
docs/RUNBOOK_INDEX.md,../ECRR_PROJECT_REPORT.md,markdown-link,markdown,61
docs/RUNBOOK_INDEX.md,../ON_CALL_RUNBOOK.md,markdown-link,markdown,105
docs/WIRING_GUIDE.md,../MONITORING_SETUP_GUIDE.md,markdown-link,markdown,447
docs/archive/README.md,../observability/SIGNOZ_RUNBOOK_BUNDLE.md,markdown-link,markdown,46
docs/archive/README.md,../RUNBOOK_INDEX.md,markdown-link,markdown,47
docs/archive/README.md,../../ON_CALL_RUNBOOK.md,markdown-link,markdown,48
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/IONA_ECRR_REPORT.md,markdown-link,markdown,103
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/IONA_SETUP_GUIDE.md,markdown-link,markdown,104
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/IONA_INTEGRATION_COMPLETE.md,markdown-link,markdown,105
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/IONA_COMMIT_MESSAGES.md,markdown-link,markdown,108
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/IONA_ENV_TEMPLATE.md,markdown-link,markdown,109
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/README.md,markdown-link,markdown,110
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/IONA_SETUP_GUIDE.md,markdown-link,markdown,246
docs/archive/root-docs-2025-10-09-052108/iona/IONA_GATE_INTEGRATION_README.md,./docs/BossCat/IONA_ECRR_REPORT.md,markdown-link,markdown,247
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/SYSTEM_ARCHITECTURE_DIAGRAM.md,markdown-link,markdown,54
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/QUICK_START_CARD.md,markdown-link,markdown,216
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/PROJECT_HUB_USER_GUIDE.md,markdown-link,markdown,217
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/TROUBLESHOOTING.md,markdown-link,markdown,218
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/SYSTEM_ARCHITECTURE_DIAGRAM.md,markdown-link,markdown,219
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/README.md,markdown-link,markdown,223
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/AGENTS.md,markdown-link,markdown,224
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/IONA_SIGNOZ_INTEGRATION.md,markdown-link,markdown,225
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/RUNBOOK_INDEX.md,markdown-link,markdown,226
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/DATA_ROOM_GUIDE.md,markdown-link,markdown,230
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/qa-checklist.md,markdown-link,markdown,231
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/TETRAGRAMMATON_USER_GUIDE.md,markdown-link,markdown,232
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/SECURITY.md,markdown-link,markdown,236
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/SECURITY_MAINTENANCE_MASTER_GUIDE.md,markdown-link,markdown,237
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/CREDENTIAL_ROTATION_CALENDAR.md,markdown-link,markdown,238
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/AGENTS.md,markdown-link,markdown,253
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/SECURITY.md,markdown-link,markdown,268
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/COMMIT_GUIDE.md,markdown-link,markdown,297
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/TROUBLESHOOTING.md,markdown-link,markdown,338
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/QUICK_START_CARD.md,markdown-link,markdown,401
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/PROJECT_HUB_USER_GUIDE.md,markdown-link,markdown,403
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/DATA_ROOM_QUICKSTART.md,markdown-link,markdown,404
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/SYSTEM_ARCHITECTURE_DIAGRAM.md,markdown-link,markdown,408
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/AGENTS.md,markdown-link,markdown,409
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/SECURITY_MAINTENANCE_MASTER_GUIDE.md,markdown-link,markdown,410
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/guides/NIGHTLY_DASHBOARD_INTEGRATION.md,markdown-link,markdown,411
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/BossCat/README.md,markdown-link,markdown,453
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/IONA_SIGNOZ_INTEGRATION.md,markdown-link,markdown,454
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/TROUBLESHOOTING.md,markdown-link,markdown,460
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/IONA_ERRORS.md,markdown-link,markdown,461
docs/archive/root-docs-2025-10-09-052108/miscellaneous/README_NEW.md,./docs/SECURITY.md,markdown-link,markdown,463
docs/bench/index.md,../ecrr/ECRR_REPORTS/GPU_PATTERN_SIFTER_EPIC.md,markdown-link,markdown,5
docs/bench/index.md,../ecrr/ECRR_REPORTS/gpu_bench_2025-10-04.json,markdown-link,markdown,56
docs/bench/index.md,../ecrr/schema.json,markdown-link,markdown,58
docs/comfort-cat/docker-security-assessment.md,../security/container-security.md,markdown-link,markdown,122
docs/comfort-cat/docker-security-assessment.md,../security/vulnerability-management.md,markdown-link,markdown,123
docs/comfort-cat/docker-security-assessment.md,../security/incident-response.md,markdown-link,markdown,124
docs/comfort-cat/docker-security-assessment.md,../compliance/README.md,markdown-link,markdown,125
docs/comfort-cat/windows-collector-restart-procedures.md,../ecrr/README.md,markdown-link,markdown,159
docs/comfort-cat/windows-collector-restart-procedures.md,../signoz/README.md,markdown-link,markdown,160
docs/comfort-cat/windows-collector-restart-procedures.md,../verification/README.md,markdown-link,markdown,161
docs/comfort-cat/windows-collector-restart-procedures.md,../troubleshooting/README.md,markdown-link,markdown,162
docs/observability/SIGNOZ_RUNBOOK_BUNDLE.md,../ECRR_PROJECT_REPORT.md,markdown-link,markdown,358
docs/observability/SIGNOZ_UI_MAP.md,../ECRR_PROJECT_REPORT.md,markdown-link,markdown,6
docs/observability/gpu-health-dashboard.md,../ecrr/ECRR_REPORTS/GPU_PATTERN_SIFTER_EPIC.md,markdown-link,markdown,5
docs/observability/gpu-health-dashboard.md,./gpu_health_2025-10-04.json,markdown-link,markdown,104
docs/observability/gpu-health-dashboard.md,../bench/index.md,markdown-link,markdown,106
docs/observability/gpu-signals.md,../gpu/windows-cheats.md,markdown-link,markdown,284
docs/observability/signoz-integration-verification.md,../ecrr/ECRR_REPORTS/GPU_PATTERN_SIFTER_EPIC.md,markdown-link,markdown,4
docs/project-reports/README.md,../badges.md,markdown-link,markdown,19
docs/roles/README.md,../ECRR_PROJECT_REPORT.md,markdown-link,markdown,9
scripts/roadmap/README.md,../../docs/ROADMAP_AUTOMATION.md,markdown-link,markdown,41
.agent/process-tasks.ps1,validation/validate-otlp-exporter.ps1,script-exec,powershell,111
.agent/process-tasks.ps1,validation/validate-tail-sampling.ps1,script-exec,powershell,152
.agent/process-tasks.ps1,validation/validate-cardinality.ps1,script-exec,powershell,193
.agent/process-tasks.ps1,validation/validate-gpu-thermal.ps1,script-exec,powershell,230
artifacts/capture-evidence.ps1,.\scripts\verify-integration.ps1,script-exec,powershell,41
canary-monitor.ps1,verify-pipeline.ps1,script-exec,powershell,70
canary-monitor.ps1,verify-integration.ps1,script-exec,powershell,71
deploy-pressure-monitoring.ps1,scripts\test-alerting.ps1,script-exec,powershell,83
deploy-pressure-monitoring.ps1,scripts\canary-test.ps1,script-exec,powershell,162
quick-status-check.ps1,monitor-parallel-validation.ps1,script-exec,powershell,55
scripts/EXECUTE_HANDS_FREE_SWITCH_ON.ps1,scripts\EXECUTE_HANDS_FREE_SWITCH_ON.ps1,script-exec,powershell,12
scripts/EXECUTE_HANDS_FREE_SWITCH_ON.ps1,scripts\EXECUTE_HANDS_FREE_SWITCH_ON.ps1,script-exec,powershell,31
scripts/EXECUTE_HANDS_FREE_SWITCH_ON.ps1,$PSScriptRoot\bosscat-hands-free-switch-on.ps1,script-exec,powershell,60
scripts/PROC.ps1,scripts/process-ecrr-and-boss.ps1,script-exec,powershell,16
scripts/agent/enforce-guardrails.ps1,scripts/agent/update-status.ps1,script-exec,powershell,270
scripts/agent/health-gate.ps1,scripts/verify-wiring.ps1,script-exec,powershell,22
scripts/agent/health-gate.ps1,scripts/verify-wiring.ps1,script-exec,powershell,56
scripts/agent/health-gate.ps1,scripts/agent/update-status.ps1,script-exec,powershell,76
scripts/agent/health-gate.ps1,scripts/agent/update-status.ps1,script-exec,powershell,77
scripts/agent/setup-local.ps1,scripts/agent/health-gate.ps1,script-exec,powershell,188
scripts/agent/setup-local.ps1,scripts/agent/update-status.ps1,script-exec,powershell,198
scripts/agent/staged-failure-drill.ps1,scripts/agent/remediation.ps1,script-exec,powershell,73
scripts/agent/staged-failure-drill.ps1,scripts/agent/remediation.ps1,script-exec,powershell,114
scripts/agent/staged-failure-drill.ps1,scripts/agent/remediation.ps1,script-exec,powershell,164
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,powershell,193
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,powershell,204
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,powershell,215
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,powershell,259
scripts/agent/watchdog-enhanced.ps1,scripts/agent/update-status.ps1,script-exec,powershell,105
scripts/agent/watchdog-enhanced.ps1,scripts/agent/doctor.ps1,script-exec,powershell,131
scripts/agent/watchdog-enhanced.ps1,scripts/agent/update-status.ps1,script-exec,powershell,263
scripts/agent/watchdog-enhanced.ps1,scripts/agent/update-status.ps1,script-exec,powershell,304
scripts/agent/watchdog.ps1,scripts/agent/update-status.ps1,script-exec,powershell,82
scripts/agent/watchdog.ps1,scripts/agent/doctor.ps1,script-exec,powershell,103
scripts/agent/watchdog.ps1,scripts/agent/update-status.ps1,script-exec,powershell,233
scripts/agent/watchdog.ps1,scripts/agent/update-status.ps1,script-exec,powershell,274
scripts/automation-scaling.ps1,scripts/predictive-ssot-automation.ps1,script-exec,powershell,608
scripts/automation-scaling.ps1,scripts/ssot-load-balancing.ps1,script-exec,powershell,615
scripts/automation-scaling.ps1,scripts/ssot-auto-scaling.ps1,script-exec,powershell,622
scripts/automation-scaling.ps1,scripts/intelligent-ssot-alerting.ps1,script-exec,powershell,629
scripts/automation-scaling.ps1,scripts/integrated-ssot-scaling.ps1,script-exec,powershell,684
scripts/automation-scaling.ps1,scripts/integrated-ssot-scaling.ps1,script-exec,powershell,687
scripts/benchmark-orchestrator.ps1,scripts/benchmark-process-all-ecrr-reports.ps1,script-exec,powershell,136
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,powershell,9
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,powershell,12
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,powershell,15
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,powershell,94
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,powershell,97
scripts/bosscat-cleanup-alerts.ps1,scripts/bosscat-cleanup-alerts.ps1,script-exec,powershell,9
scripts/bosscat-cleanup-alerts.ps1,scripts/bosscat-cleanup-alerts.ps1,script-exec,powershell,12
scripts/bosscat-create-signoz-alerts.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,powershell,11
scripts/bosscat-create-signoz-alerts.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,powershell,12
scripts/bosscat-create-signoz-alerts.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,powershell,13
scripts/bosscat-golden-snapshot.ps1,scripts/bosscat-golden-snapshot.ps1,script-exec,powershell,8
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-hands-free-switch-on.ps1,script-exec,powershell,14
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-hands-free-switch-on.ps1,script-exec,powershell,29
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,powershell,137
scripts/bosscat-hands-free-switch-on.ps1,scripts/iona-trace-canary.ps1,script-exec,powershell,155
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,powershell,175
scripts/bosscat-ops-oneliners.ps1,scripts/bosscat-ops-oneliners.ps1,script-exec,powershell,7
scripts/bosscat-sentinel-alert.ps1,scripts/bosscat-sentinel-alert.ps1,script-exec,powershell,11
scripts/bosscat-sentinel-alert.ps1,scripts/bosscat-sentinel-alert.ps1,script-exec,powershell,26
scripts/bosscat-signoz-smoke-check.ps1,scripts/bosscat-signoz-smoke-check.ps1,script-exec,powershell,11
scripts/bosscat-signoz-smoke-check.ps1,scripts/bosscat-signoz-smoke-check.ps1,script-exec,powershell,26
scripts/bosscat-steps-7-8.ps1,scripts\iona-canary.ps1,script-exec,powershell,58
scripts/bosscat-steps-7-8.ps1,scripts\iona-trace-canary.ps1,script-exec,powershell,94
scripts/bosscat-verify-signoz-completion.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,powershell,11
scripts/bosscat-verify-signoz-completion.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,powershell,12
scripts/bosscat-verify-signoz-completion.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,powershell,13
scripts/calc-p95-latency.ps1,scripts\calc-p95-latency.ps1,script-exec,powershell,27
scripts/calc-p95-latency.ps1,scripts\calc-p95-latency.ps1,script-exec,powershell,30
scripts/calc-p95-latency.ps1,scripts\verify-pipeline.ps1,script-exec,powershell,44
scripts/canary-ecrr.ps1,scripts/canary-ecrr.ps1,script-exec,powershell,5
scripts/capture-dashboard-screenshot.ps1,scripts/publish-e2-results.ps1,script-exec,powershell,98
scripts/check-latency-readiness.ps1,scripts/generate-synthetic-load.ps1,script-exec,powershell,157
scripts/ci-ecrr-compliance.ps1,scripts/validate-ecrr-compliance.ps1,script-exec,powershell,25
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,powershell,47
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,powershell,129
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,powershell,131
scripts/ci-integration-setup.ps1,scripts/ci-ecrr-compliance.ps1,script-exec,powershell,174
scripts/cleanup-artifacts.ps1,scripts/cleanup-artifacts.ps1,script-exec,powershell,20
scripts/cleanup-artifacts.ps1,scripts/cleanup-artifacts.ps1,script-exec,powershell,23
scripts/comfort-cat-sanity-sweep.ps1,scripts\comfort-cat-sanity-sweep.ps1,script-exec,powershell,13
scripts/complete-setup.ps1,scripts/test-signoz-auth.ps1,script-exec,powershell,108
scripts/complete-setup.ps1,scripts/test-webhook.ps1,script-exec,powershell,122
scripts/complete-setup.ps1,scripts/verify-resonai.ps1,script-exec,powershell,145
scripts/complete-setup.ps1,scripts/test-webhook.ps1,script-exec,powershell,156
scripts/configure-alerts-manual.ps1,scripts/canary-test.ps1,script-exec,powershell,109
scripts/configure-ecrr-alerts.ps1,scripts/monitor-ecrr-alerts.ps1,script-exec,powershell,70
scripts/configure-ecrr-alerts.ps1,scripts/monitor-ecrr-alerts.ps1,script-exec,powershell,79
scripts/configure-ecrr-alerts.ps1,scripts/schedule-ecrr-trends.ps1,script-exec,powershell,80
scripts/configure-service-recovery.ps1,scripts\configure-service-recovery.ps1,script-exec,powershell,18
scripts/configure-service-recovery.ps1,scripts\configure-service-recovery.ps1,script-exec,powershell,21
scripts/configure-signoz-alerts.ps1,scripts/configure-signoz-alerts.ps1,script-exec,powershell,2
scripts/configure-webhook-url.ps1,scripts/configure-webhook-url.ps1,script-exec,powershell,33
scripts/configure-webhook-url.ps1,scripts/configure-webhook-url.ps1,script-exec,powershell,34
scripts/configure-webhook-url.ps1,scripts/configure-webhook-url.ps1,script-exec,powershell,35
scripts/configure-webhook-url.ps1,scripts/webhook-status.ps1,script-exec,powershell,240
scripts/configure-webhook-url.ps1,scripts/test-webhook.ps1,script-exec,powershell,241
scripts/configure-webhook-url.ps1,scripts/integrate-webhook-alerts.ps1,script-exec,powershell,242
scripts/continuous-improvement.ps1,scripts/ssot-usage-analysis.ps1,script-exec,powershell,228
scripts/continuous-improvement.ps1,scripts/ssot-performance-optimization.ps1,script-exec,powershell,381
scripts/continuous-improvement.ps1,scripts/ssot-monitoring-enhancement.ps1,script-exec,powershell,565
scripts/continuous-improvement.ps1,scripts/ssot-automation-improvement.ps1,script-exec,powershell,690
scripts/cursor-agent-monitor.ps1,scripts/cursor-agent-processor.ps1,script-exec,powershell,85
scripts/cursor-startup-signoz-enterprise-views.ps1,scripts\cursor-startup-signoz-enterprise-views.ps1,script-exec,powershell,41
scripts/deploy-ecrr-ci.ps1,scripts/lint-ecrr-compliance.ps1,script-exec,powershell,37
scripts/deploy-ecrr-ci.ps1,scripts/lint-ecrr-compliance.ps1,script-exec,powershell,87
scripts/deploy-ecrr-ci.ps1,scripts/lint-ecrr-compliance.ps1,script-exec,powershell,113
scripts/deploy-ecrr-ci.ps1,scripts/validate-ecrr-compliance.ps1,script-exec,powershell,114
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,71
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,powershell,174
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,powershell,213
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,powershell,394
scripts/deploy-gpu-sidecars.ps1,scripts/test-gpu-sidecars.ps1,script-exec,powershell,418
scripts/deploy-gpu-sidecars.ps1,verify-integration.ps1,script-exec,powershell,421
scripts/deploy-gpu-sidecars.ps1,scripts/validate-production-gpu.ps1,script-exec,powershell,424
scripts/deploy-gpu-sidecars.ps1,scripts/gpu-watchdog.ps1,script-exec,powershell,430
scripts/deploy-gpu-sidecars.ps1,scripts/production-monitoring.ps1,script-exec,powershell,433
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,439
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,442
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,445
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,448
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,458
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,480
scripts/deploy-gpu-sidecars.ps1,scripts/manage-gpu-sidecars.ps1,script-exec,powershell,486
scripts/deploy-gpu-sidecars.ps1,scripts/test-gpu-sidecars.ps1,script-exec,powershell,489
scripts/deploy-nightly-automation.ps1,scripts/generate-dashboard-snapshots.ps1,script-exec,powershell,119
scripts/deploy-nightly-automation.ps1,scripts/setup-github-repo-security.ps1,script-exec,powershell,252
scripts/deploy-nightly-automation.ps1,scripts/setup-github-secrets.ps1,script-exec,powershell,409
scripts/deploy-windows-canary-alert-session.ps1,scripts\deploy-windows-canary-alert-session.ps1,script-exec,powershell,28
scripts/deploy-windows-canary-alert-session.ps1,scripts\deploy-windows-canary-alert-session.ps1,script-exec,powershell,34
scripts/diagnostic-shell-enhanced.ps1,$PSScriptRoot/verify-wiring.ps1,script-exec,powershell,162
scripts/diagnostic-shell-enhanced.ps1,$PSScriptRoot/enterprise-readiness-check.ps1,script-exec,powershell,192
scripts/direct-production-monitor.ps1,scripts/monitor-ssot-health.ps1,script-exec,powershell,35
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,powershell,71
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,powershell,82
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,powershell,106
scripts/direct-production-monitor.ps1,scripts/notify-alert.ps1,script-exec,powershell,126
scripts/ecrr-doctor.ps1,scripts/ecrr-doctor.ps1,script-exec,powershell,5
scripts/ecrr-doctor.ps1,scripts/canary-test.ps1,script-exec,powershell,127
scripts/ecrr-process-and-publish.ps1,scripts/ecrr-processing-summary.ps1,script-exec,powershell,24
scripts/ecrr-process-and-publish.ps1,scripts/monitor-ecrr-compliance.ps1,script-exec,powershell,37
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,191
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,192
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,193
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,194
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,198
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,199
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,200
scripts/ecrr-schedule-monitoring.ps1,scripts/ecrr-schedule-monitoring.ps1,script-exec,powershell,201
scripts/ecrr-webhook-config.ps1,scripts/ecrr-webhook-config.ps1,script-exec,powershell,292
